Team,Wins
KiraLewis Jr.,"{0: '                    Pass To  FREQ\xa0M%\n0           Hawkins, Jordan      3.5\n1           Seabron, Dereon      1.3\n2            Daniels, Dyson      9.9\n3            Alvarado, Jose      1.9\n4             Liddell, E.J.      0.5\n5            Jones, Herbert      4.0\n6   Robinson-Earl, Jeremiah      3.7\n7                Ryan, Matt      4.5\n8            Marshall, Naji      1.9\n9          Williamson, Zion      3.7\n10            Gates, Kaiser      0.3\n11          Ingram, Brandon      4.3\n12         Nance Jr., Larry      4.8\n13             Zeller, Cody      5.9\n14             McCollum, CJ      1.3\n15       Valanciunas, Jonas      3.5\n16   Freeman-Liberty, Javon      0.5\n17          Temple, Garrett      0.3\n18        Sensabaugh, Brice      9.6\n19          George, Keyonte      2.9\n20        Hendricks, Taylor      2.9\n21      Lofton Jr., Kenneth      3.7\n22          Kessler, Walker      1.1\n23            Potter, Micah      2.7\n24           Preston, Jason      0.5\n25           Juzang, Johnny      1.1\n26          Yurtseven, Omer      3.5\n27            Samanic, Luka      1.9\n28     Horton-Tucker, Talen      1.3\n29           Bazley, Darius      2.1\n30           Sexton, Collin      7.8\n31         Markkanen, Lauri      1.1\n32               Dunn, Kris      1.9', 1: '                  Pass From  FREQ\xa0R%\n0           Hawkins, Jordan      4.3\n1           Seabron, Dereon      3.6\n2            Daniels, Dyson      9.0\n3            Alvarado, Jose      2.0\n4             Liddell, E.J.      1.5\n5            Jones, Herbert      2.8\n6   Robinson-Earl, Jeremiah      3.3\n7                Ryan, Matt      4.6\n8            Marshall, Naji      1.8\n9          Williamson, Zion      4.1\n10            Gates, Kaiser      1.0\n11          Ingram, Brandon      3.1\n12         Nance Jr., Larry      4.6\n13             Zeller, Cody      5.9\n14             McCollum, CJ      1.3\n15       Valanciunas, Jonas      3.3\n16   Freeman-Liberty, Javon      0.3\n17          Temple, Garrett      0.3\n18        Sensabaugh, Brice      6.4\n19          George, Keyonte      2.3\n20        Hendricks, Taylor      3.6\n21      Lofton Jr., Kenneth      1.5\n22          Kessler, Walker      1.8\n23            Potter, Micah      5.1\n24           Preston, Jason      1.0\n25           Juzang, Johnny      0.5\n26          Yurtseven, Omer      5.6\n27            Samanic, Luka      1.3\n28     Horton-Tucker, Talen      0.8\n29           Bazley, Darius      3.6\n30           Sexton, Collin      5.9\n31         Markkanen, Lauri      1.3\n32               Dunn, Kris      2.6'}"
E.J.Liddell,"{0: '           Pass To  FREQ\xa0M%\n0  Hawkins, Jordan      8.3\n1  Seabron, Dereon      8.3\n2   Daniels, Dyson     12.5\n3   Alvarado, Jose     20.8\n4       Ryan, Matt      4.2\n5   Marshall, Naji     16.7\n6  Lewis Jr., Kira     25.0\n7     Zeller, Cody      4.2', 1: '                 Pass From  FREQ\xa0R%\n0          Hawkins, Jordan      9.5\n1          Seabron, Dereon      9.5\n2           Daniels, Dyson     19.0\n3           Alvarado, Jose      4.8\n4  Robinson-Earl, Jeremiah      4.8\n5               Ryan, Matt      9.5\n6           Marshall, Naji     14.3\n7          Lewis Jr., Kira      9.5\n8             Zeller, Cody     19.0'}"
DamianLillard,"{0: '                    Pass To  FREQ\xa0M%\n0        Jackson Jr., Andre      1.3\n1                 Green, AJ      1.1\n2         Beauchamp, MarJon      1.7\n3            Beasley, Malik     13.0\n4          Connaughton, Pat      5.8\n5             Portis, Bobby     10.0\n6            Payne, Cameron      1.2\n7   Antetokounmpo, Thanasis      0.1\n8    Antetokounmpo, Giannis     31.7\n9          Middleton, Khris     11.4\n10             Crowder, Jae      5.0\n11        Beverley, Patrick      2.1\n12             Lopez, Brook     15.3\n13        Gallinari, Danilo      0.4', 1: '                  Pass From  FREQ\xa0R%\n0         Livingston, Chris      0.0\n1        Jackson Jr., Andre      2.3\n2                 Green, AJ      1.2\n3         Beauchamp, MarJon      1.2\n4            Beasley, Malik     12.0\n5          Connaughton, Pat      9.3\n6             Portis, Bobby     14.5\n7            Payne, Cameron      1.3\n8   Antetokounmpo, Thanasis      0.1\n9    Antetokounmpo, Giannis     24.4\n10         Middleton, Khris      9.9\n11             Crowder, Jae      8.3\n12        Beverley, Patrick      2.5\n13             Lopez, Brook     12.7\n14        Gallinari, Danilo      0.1'}"
NassirLittle,"{0: ""              Pass To  FREQ\xa0M%\n0        Roddy, David      2.1\n1     Goodwin, Jordan     17.0\n2          Lee, Saben      4.1\n3       Maledon, Theo      1.5\n4            Bol, Bol      0.8\n5       Eubanks, Drew      4.6\n6      Watanabe, Yuta      3.1\n7        Okogie, Josh      3.1\n8      Metu, Chimezie      1.8\n9   Bates-Diop, Keita      2.1\n10    Azubuike, Udoka      0.5\n11     Allen, Grayson      8.2\n12     O'Neale, Royce      0.3\n13      Booker, Devin     16.5\n14      Nurkic, Jusuf      5.9\n15      Beal, Bradley      2.6\n16     Thomas, Isaiah      2.1\n17       Gordon, Eric      9.5\n18    Young, Thaddeus      0.8\n19      Durant, Kevin     13.6"", 1: ""            Pass From  FREQ\xa0R%\n0        Roddy, David      1.2\n1     Goodwin, Jordan     12.3\n2      Wainright, Ish      0.3\n3          Lee, Saben      1.8\n4       Maledon, Theo      2.1\n5            Bol, Bol      1.2\n6       Eubanks, Drew      5.6\n7      Watanabe, Yuta      3.2\n8        Okogie, Josh      4.4\n9      Metu, Chimezie      3.5\n10  Bates-Diop, Keita      2.3\n11    Azubuike, Udoka      2.1\n12     Allen, Grayson      7.6\n13     O'Neale, Royce      0.3\n14      Booker, Devin     16.1\n15      Nurkic, Jusuf      6.2\n16      Beal, Bradley      1.2\n17     Thomas, Isaiah      5.0\n18       Gordon, Eric      7.9\n19    Young, Thaddeus      0.9\n20      Durant, Kevin     15.0""}"
DereckLively II,"{0: '                     Pass To  FREQ\xa0M%\n0   Prosper, Olivier-Maxence      0.3\n1               Hardy, Jaden      5.0\n2               Lawson, A.J.      0.3\n3                Green, Josh      5.2\n4            Williams, Grant      2.6\n5               Doncic, Luka     43.2\n6           Washington, P.J.      1.1\n7               Kleber, Maxi      0.7\n8         Jones Jr., Derrick      4.4\n9                Exum, Dante     10.1\n10               Curry, Seth      1.8\n11         Hardaway Jr., Tim      8.3\n12          Morris, Markieff      0.1\n13             Irving, Kyrie     17.0', 1: '                   Pass From  FREQ\xa0R%\n0   Prosper, Olivier-Maxence      0.1\n1               Hardy, Jaden      4.1\n2               Lawson, A.J.      0.1\n3                Green, Josh      9.0\n4            Williams, Grant      3.3\n5               Doncic, Luka     39.8\n6           Washington, P.J.      1.2\n7               Kleber, Maxi      1.4\n8         Jones Jr., Derrick      3.2\n9                Exum, Dante     10.1\n10               Curry, Seth      2.6\n11         Hardaway Jr., Tim      9.6\n12          Morris, Markieff      0.4\n13             Irving, Kyrie     15.1'}"
IsaiahLivers,"{0: '               Pass To  FREQ\xa0M%\n0      Thompson, Ausar      3.5\n1       Sasser, Marcus     10.0\n2         Duren, Jalen      2.9\n3          Ivey, Jaden     12.5\n4       Umude, Stanley      1.0\n5     Cunningham, Cade     29.3\n6      Stewart, Isaiah      3.9\n7       Hayes, Killian     18.0\n8       Wiseman, James      3.9\n9       Knox II, Kevin      1.9\n10  Bagley III, Marvin      0.6\n11         Harris, Joe      0.6\n12   Bogdanovic, Bojan      4.8\n13         Burks, Alec      7.1', 1: '             Pass From  FREQ\xa0R%\n0      Thompson, Ausar      5.3\n1       Sasser, Marcus     14.8\n2         Duren, Jalen      6.7\n3          Ivey, Jaden      8.1\n4       Umude, Stanley      0.7\n5     Cunningham, Cade     21.8\n6      Stewart, Isaiah      2.8\n7       Hayes, Killian     18.3\n8       Wiseman, James      5.3\n9       Knox II, Kevin      1.8\n10  Bagley III, Marvin      2.5\n11         Harris, Joe      0.4\n12   Bogdanovic, Bojan      5.6\n13         Burks, Alec      6.0'}"
ChrisLivingston,"{0: '                    Pass To  FREQ\xa0M%\n0        Jackson Jr., Andre      9.4\n1                 Green, AJ      7.1\n2      Washington Jr., TyTy     12.9\n3         Beauchamp, MarJon     12.9\n4        Wigginton, Lindell      4.7\n5            Beasley, Malik      1.2\n6          Connaughton, Pat      9.4\n7             Portis, Bobby      1.2\n8            Payne, Cameron     20.0\n9   Antetokounmpo, Thanasis      7.1\n10   Antetokounmpo, Giannis      2.4\n11         Middleton, Khris      2.4\n12             Crowder, Jae      3.5\n13          Lillard, Damian      2.4\n14             Lopez, Robin      1.2\n15             Lopez, Brook      1.2\n16        Gallinari, Danilo      1.2', 1: '                  Pass From  FREQ\xa0R%\n0        Jackson Jr., Andre     10.0\n1                 Green, AJ     11.7\n2             Rollins, Ryan      1.7\n3      Washington Jr., TyTy      5.0\n4         Beauchamp, MarJon     11.7\n5        Wigginton, Lindell      1.7\n6          Connaughton, Pat     11.7\n7            Payne, Cameron     21.7\n8   Antetokounmpo, Thanasis      6.7\n9    Antetokounmpo, Giannis      6.7\n10         Middleton, Khris      1.7\n11             Crowder, Jae      1.7\n12             Lopez, Robin      5.0\n13        Gallinari, Danilo      3.3'}"
KennethLofton Jr.,"{0: '                 Pass To  FREQ\xa0M%\n0            Jackson, GG      0.5\n1         Gilyard, Jacob      5.8\n2    Williams Jr., Vince      1.1\n3           Roddy, David      1.1\n4          LaRavia, Jake      1.6\n5          Aldama, Santi      1.6\n6       Williams, Ziaire     11.6\n7          Bane, Desmond      7.4\n8          Konchar, John      3.2\n9         Nowell, Jaylen      1.1\n10    Jackson Jr., Jaren      1.6\n11         Kennard, Luke      4.2\n12   Harrison, Shaquille      0.5\n13         Smart, Marcus      1.6\n14         Rose, Derrick      0.5\n15     Council IV, Ricky      0.5\n16     Smith, Terquavion      2.1\n17            Martin, KJ      0.5\n18     Sensabaugh, Brice      7.9\n19       George, Keyonte     11.6\n20     Hendricks, Taylor      0.5\n21         Potter, Micah      2.6\n22        Preston, Jason      5.3\n23        Juzang, Johnny      1.6\n24       Lewis Jr., Kira      3.2\n25         Samanic, Luka      5.3\n26  Horton-Tucker, Talen      9.5\n27        Bazley, Darius      6.3', 1: '               Pass From  FREQ\xa0R%\n0            Jackson, GG      0.5\n1         Gilyard, Jacob      9.0\n2    Williams Jr., Vince      4.1\n3           Roddy, David      1.8\n4          Aldama, Santi      1.8\n5       Williams, Ziaire     10.9\n6          Bane, Desmond      4.5\n7          Konchar, John      6.3\n8     Jackson Jr., Jaren      1.4\n9          Kennard, Luke      3.2\n10   Harrison, Shaquille      0.9\n11         Smart, Marcus      2.3\n12         Rose, Derrick      0.5\n13     Council IV, Ricky      0.5\n14     Smith, Terquavion      2.3\n15            Martin, KJ      0.5\n16       Korkmaz, Furkan      0.5\n17     Sensabaugh, Brice      5.4\n18       George, Keyonte     10.0\n19     Hendricks, Taylor      1.4\n20         Potter, Micah      0.9\n21        Preston, Jason      5.9\n22        Juzang, Johnny      1.8\n23       Lewis Jr., Kira      6.3\n24         Samanic, Luka      2.3\n25  Horton-Tucker, Talen     10.4\n26        Bazley, Darius      5.0'}"
KevonLooney,"{0: '                Pass To  FREQ\xa0M%\n0   Podziemski, Brandin     12.1\n1      Quinones, Lester      2.2\n2           Santos, Gui      0.8\n3          Moody, Moses      3.6\n4          Spencer, Pat      0.1\n5     Kuminga, Jonathan      6.9\n6      Robinson, Jerome      0.3\n7       Payton II, Gary      0.9\n8          Saric, Dario      2.4\n9       Wiggins, Andrew      9.9\n10      Green, Draymond      7.3\n11         Joseph, Cory      1.8\n12       Thompson, Klay     13.1\n13       Curry, Stephen     24.3\n14          Paul, Chris     14.3', 1: '              Pass From  FREQ\xa0R%\n0   Podziemski, Brandin     12.7\n1      Quinones, Lester      2.7\n2           Santos, Gui      0.3\n3          Moody, Moses      5.1\n4          Spencer, Pat      0.2\n5     Kuminga, Jonathan      9.3\n6      Robinson, Jerome      0.4\n7       Payton II, Gary      1.9\n8          Saric, Dario      2.1\n9       Wiggins, Andrew     10.3\n10      Green, Draymond      3.6\n11         Joseph, Cory      2.1\n12       Thompson, Klay     14.1\n13       Curry, Stephen     25.9\n14          Paul, Chris      9.4'}"
BrookLopez,"{0: '                    Pass To  FREQ\xa0M%\n0        Jackson Jr., Andre      1.6\n1                 Green, AJ      1.0\n2         Beauchamp, MarJon      0.7\n3            Beasley, Malik      8.3\n4          Connaughton, Pat      4.7\n5             Portis, Bobby      3.8\n6            Payne, Cameron      4.0\n7   Antetokounmpo, Thanasis      0.1\n8    Antetokounmpo, Giannis     17.4\n9          Middleton, Khris     13.1\n10             Crowder, Jae      3.6\n11          Lillard, Damian     39.0\n12        Beverley, Patrick      2.8', 1: '                  Pass From  FREQ\xa0R%\n0         Livingston, Chris      0.1\n1        Jackson Jr., Andre      1.5\n2                 Green, AJ      0.4\n3      Washington Jr., TyTy      0.1\n4         Beauchamp, MarJon      1.0\n5            Beasley, Malik     10.0\n6          Connaughton, Pat      5.5\n7             Portis, Bobby      2.7\n8            Payne, Cameron      5.0\n9   Antetokounmpo, Thanasis      0.2\n10   Antetokounmpo, Giannis     16.4\n11         Middleton, Khris     14.9\n12             Crowder, Jae      4.0\n13          Lillard, Damian     34.7\n14        Beverley, Patrick      3.4\n15        Gallinari, Danilo      0.1'}"
RobinLopez,"{0: '                    Pass To  FREQ\xa0M%\n0         Livingston, Chris      6.8\n1        Jackson Jr., Andre      9.1\n2                 Green, AJ     13.6\n3         Beauchamp, MarJon     13.6\n4        Wigginton, Lindell      6.8\n5            Beasley, Malik      2.3\n6          Connaughton, Pat     11.4\n7            Payne, Cameron     13.6\n8   Antetokounmpo, Thanasis      9.1\n9    Antetokounmpo, Giannis      2.3\n10         Middleton, Khris      2.3\n11             Crowder, Jae      9.1', 1: '                  Pass From  FREQ\xa0R%\n0         Livingston, Chris      1.7\n1        Jackson Jr., Andre     10.0\n2                 Green, AJ     18.3\n3      Washington Jr., TyTy      6.7\n4         Beauchamp, MarJon      3.3\n5        Wigginton, Lindell      5.0\n6            Beasley, Malik      3.3\n7          Connaughton, Pat      8.3\n8            Payne, Cameron     20.0\n9   Antetokounmpo, Thanasis      5.0\n10   Antetokounmpo, Giannis      8.3\n11         Middleton, Khris      3.3\n12             Crowder, Jae      6.7'}"
KevinLove,"{0: '               Pass To  FREQ\xa0M%\n0         Swider, Cole      0.3\n1          Cain, Jamal      1.0\n2    Williams, Alondes      0.1\n3    Jaquez Jr., Jaime     16.5\n4        Jovic, Nikola      1.2\n5           Smith, Dru      0.3\n6        Hampton, R.J.      0.7\n7         Herro, Tyler     11.2\n8   Highsmith, Haywood      3.1\n9     Robinson, Duncan      6.1\n10       Martin, Caleb      8.2\n11      Bryant, Thomas      0.1\n12        Adebayo, Bam      4.0\n13    Richardson, Josh      9.8\n14       Rozier, Terry      4.1\n15       Wright, Delon      0.8\n16       Butler, Jimmy     20.2\n17        Mills, Patty      0.1\n18         Lowry, Kyle     12.2', 1: '             Pass From  FREQ\xa0R%\n0         Swider, Cole      0.2\n1          Cain, Jamal      0.7\n2    Williams, Alondes      0.2\n3    Jaquez Jr., Jaime     15.1\n4        Jovic, Nikola      2.0\n5           Smith, Dru      0.2\n6        Hampton, R.J.      0.9\n7         Herro, Tyler     12.2\n8   Highsmith, Haywood      4.4\n9     Robinson, Duncan      7.2\n10       Martin, Caleb      7.5\n11      Bryant, Thomas      0.4\n12        Adebayo, Bam      3.5\n13    Richardson, Josh      9.6\n14       Rozier, Terry      4.0\n15       Wright, Delon      1.1\n16       Butler, Jimmy     21.3\n17        Mills, Patty      0.1\n18         Lowry, Kyle      9.7'}"
KyleLowry,"{0: ""               Pass To  FREQ\xa0M%\n0         Swider, Cole      0.1\n1          Cain, Jamal      0.6\n2    Jaquez Jr., Jaime      6.5\n3    Robinson, Orlando      1.1\n4        Jovic, Nikola      1.6\n5           Smith, Dru      0.7\n6        Hampton, R.J.      0.1\n7         Herro, Tyler      6.0\n8   Highsmith, Haywood      4.0\n9     Robinson, Duncan      5.8\n10       Martin, Caleb      3.8\n11      Bryant, Thomas      1.0\n12        Adebayo, Bam     10.4\n13    Richardson, Josh      3.3\n14       Butler, Jimmy     10.7\n15         Love, Kevin      4.0\n16   Council IV, Ricky      0.3\n17    Dowtin Jr., Jeff      0.2\n18          Martin, KJ      0.7\n19          Reed, Paul      1.2\n20       Maxey, Tyrese     10.9\n21  Melton, De'Anthony      0.4\n22           Bamba, Mo      2.8\n23        Wilson, D.J.      0.0\n24        Hield, Buddy      4.6\n25      Payne, Cameron      2.9\n26    Oubre Jr., Kelly      6.3\n27        Embiid, Joel      1.2\n28      Harris, Tobias      5.4\n29      Batum, Nicolas      3.4"", 1: ""             Pass From  FREQ\xa0R%\n0         Swider, Cole      0.1\n1          Cain, Jamal      0.9\n2    Jaquez Jr., Jaime      5.0\n3    Robinson, Orlando      1.7\n4        Jovic, Nikola      1.8\n5           Smith, Dru      0.9\n6        Hampton, R.J.      0.0\n7         Herro, Tyler      5.6\n8   Highsmith, Haywood      4.0\n9     Robinson, Duncan      4.4\n10       Martin, Caleb      4.6\n11      Bryant, Thomas      1.4\n12        Adebayo, Bam     10.5\n13    Richardson, Josh      3.4\n14       Butler, Jimmy      6.9\n15         Love, Kevin      7.4\n16   Council IV, Ricky      0.2\n17    Dowtin Jr., Jeff      0.3\n18          Martin, KJ      0.7\n19          Reed, Paul      2.2\n20       Maxey, Tyrese      8.7\n21  Melton, De'Anthony      0.4\n22           Bamba, Mo      4.9\n23        Wilson, D.J.      0.0\n24        Hield, Buddy      5.5\n25      Payne, Cameron      2.6\n26    Oubre Jr., Kelly      4.2\n27        Embiid, Joel      1.1\n28      Harris, Tobias      6.5\n29      Batum, Nicolas      4.1""}"
SethLundy,"{0: '              Pass To  FREQ\xa0M%\n0         Griffin, AJ      9.4\n1      Forrest, Trent     28.1\n2         Bey, Saddiq      3.1\n3     Okongwu, Onyeka      3.1\n4   Mathews, Garrison      6.3\n5         Young, Trae     28.1\n6     Fernando, Bruno      9.4\n7    Murray, Dejounte      6.3\n8  Bogdanovic, Bogdan      3.1\n9        Mills, Patty      3.1', 1: '            Pass From  FREQ\xa0R%\n0         Griffin, AJ      3.2\n1      Forrest, Trent     32.3\n2         Bey, Saddiq      3.2\n3     Okongwu, Onyeka      6.5\n4   Mathews, Garrison     16.1\n5         Young, Trae      9.7\n6     Fernando, Bruno      3.2\n7    Murray, Dejounte     16.1\n8  Bogdanovic, Bogdan      6.5\n9        Mills, Patty      3.2'}"
TreyLyles,"{0: ""                   Pass To  FREQ\xa0M%\n0             Jones, Colby      0.5\n1              Ellis, Keon      5.2\n2           Murray, Keegan      3.5\n3         Mitchell, Davion     12.0\n4         Edwards, Kessler      1.1\n5            Duarte, Chris      0.6\n6             Jones, Mason      0.3\n7   Toscano-Anderson, Juan      0.1\n8           Huerter, Kevin      3.2\n9          Vezenkov, Sasha      1.8\n10             Monk, Malik     22.5\n11           Fox, De'Aaron     33.0\n12       Sabonis, Domantas     10.9\n13               Len, Alex      2.3\n14        Barnes, Harrison      1.5\n15           McGee, JaVale      1.6"", 1: ""            Pass From  FREQ\xa0R%\n0        Jones, Colby      0.5\n1         Ellis, Keon      3.7\n2      Murray, Keegan      5.3\n3    Mitchell, Davion      9.4\n4    Edwards, Kessler      0.9\n5       Duarte, Chris      2.0\n6        Jones, Mason      0.4\n7      Huerter, Kevin      5.4\n8     Vezenkov, Sasha      3.4\n9         Monk, Malik     19.6\n10      Fox, De'Aaron     31.1\n11  Sabonis, Domantas     12.5\n12          Len, Alex      2.5\n13   Barnes, Harrison      2.1\n14      McGee, JaVale      1.3""}"
TheoMaledon,"{0: '             Pass To  FREQ\xa0M%\n0       Black, Leaky      0.6\n1    Smith Jr., Nick      3.8\n2    Miller, Brandon      7.0\n3    McGowens, Bryce      2.9\n4     Williams, Mark      3.5\n5           Thor, JT      8.0\n6   Bouknight, James      1.6\n7     Richards, Nick      5.8\n8       Ball, LaMelo     26.8\n9   Washington, P.J.     14.4\n10    Bridges, Miles      0.6\n11     Rozier, Terry      6.7\n12        Smith, Ish      2.9\n13   Hayward, Gordon      8.9\n14        Lee, Saben      1.0\n15    Little, Nassir      2.2\n16          Bol, Bol      1.0\n17     Eubanks, Drew      0.6\n18      Okogie, Josh      0.6\n19   Azubuike, Udoka      0.6\n20    Allen, Grayson      0.3', 1: '           Pass From  FREQ\xa0R%\n0       Black, Leaky      1.3\n1    Smith Jr., Nick      2.9\n2    Miller, Brandon      6.7\n3    McGowens, Bryce      4.5\n4     Williams, Mark      6.1\n5           Thor, JT     12.4\n6   Bouknight, James      1.3\n7     Richards, Nick      9.2\n8       Ball, LaMelo     21.0\n9   Washington, P.J.     15.3\n10     Rozier, Terry      3.2\n11        Smith, Ish      2.9\n12   Hayward, Gordon      6.4\n13        Lee, Saben      1.3\n14    Little, Nassir      1.9\n15          Bol, Bol      0.6\n16     Eubanks, Drew      0.6\n17      Okogie, Josh      1.0\n18   Azubuike, Udoka      1.0\n19    Allen, Grayson      0.6'}"
SandroMamukelashvili,"{0: ""               Pass To  FREQ\xa0M%\n0   Wembanyama, Victor      7.4\n1        Cissoko, Sidy      0.9\n2     Barlow, Dominick      1.6\n3      Bouyea, Jamaree      0.4\n4       Sochan, Jeremy      2.2\n5        Wesley, Blake     14.7\n6      Branham, Malaki      9.5\n7   Champagnie, Julian      8.6\n8        Gray, RaiQuan      0.4\n9      Duke Jr., David      0.4\n10          Jones, Tre     24.5\n11      Vassell, Devin      3.4\n12     Johnson, Keldon      5.2\n13     Diakite, Mamadi      0.4\n14    Graham, Devonte'     12.4\n15       Collins, Zach      2.9\n16         Osman, Cedi      3.6\n17     McDermott, Doug      1.6"", 1: ""             Pass From  FREQ\xa0R%\n0   Wembanyama, Victor      7.8\n1        Cissoko, Sidy      1.7\n2     Barlow, Dominick      1.4\n3      Bouyea, Jamaree      0.7\n4       Sochan, Jeremy      2.1\n5        Wesley, Blake     17.3\n6      Branham, Malaki      8.8\n7   Champagnie, Julian     10.0\n8      Duke Jr., David      1.0\n9           Jones, Tre     18.5\n10      Vassell, Devin      2.4\n11     Bassey, Charles      0.7\n12     Johnson, Keldon      4.0\n13     Diakite, Mamadi      1.0\n14    Graham, Devonte'     10.5\n15       Collins, Zach      5.9\n16         Osman, Cedi      3.6\n17     McDermott, Doug      2.6""}"
TeranceMann,"{0: '                Pass To  FREQ\xa0M%\n0           Brown, Kobe      1.2\n1       Diabate, Moussa      0.1\n2         Hyland, Bones      3.7\n3   Boston Jr., Brandon      1.9\n4          Moon, Xavier      1.3\n5          Coffey, Amir      4.1\n6         Theis, Daniel      1.9\n7          Zubac, Ivica      7.9\n8        Powell, Norman      5.0\n9        Plumlee, Mason      2.4\n10       Leonard, Kawhi     12.9\n11         George, Paul     13.9\n12        Harden, James     35.4\n13   Westbrook, Russell      7.7\n14         Tucker, P.J.      0.6', 1: '              Pass From  FREQ\xa0R%\n0        Miller, Jordan      0.1\n1           Brown, Kobe      2.1\n2       Diabate, Moussa      0.3\n3         Hyland, Bones      3.3\n4   Boston Jr., Brandon      1.4\n5          Moon, Xavier      1.4\n6          Coffey, Amir      4.8\n7         Theis, Daniel      1.6\n8          Zubac, Ivica     10.3\n9        Powell, Norman      4.3\n10       Plumlee, Mason      3.1\n11       Leonard, Kawhi     12.9\n12         George, Paul     15.9\n13        Harden, James     31.9\n14   Westbrook, Russell      5.8\n15         Tucker, P.J.      0.9'}"
TreMann,"{0: '                     Pass To  FREQ\xa0M%\n0               Black, Leaky      0.5\n1              Bailey, Amari      0.5\n2            Smith Jr., Nick      0.8\n3            Miller, Brandon     16.5\n4            McGowens, Bryce      1.4\n5                   Thor, JT      2.4\n6             Richards, Nick      6.8\n7        Pokusevski, Aleksej      4.3\n8            Bolden, Marques      0.9\n9            Williams, Grant     14.3\n10              Martin, Cody      3.7\n11            Bridges, Miles     14.3\n12           Micic, Vasilije     10.8\n13               Curry, Seth      2.4\n14            Bertans, Davis      6.1\n15         Johnson, Keyontae      0.2\n16            Wallace, Cason      0.8\n17            Dieng, Ousmane      2.4\n18          Williams, Jaylin      2.6\n19           Williams, Jalen      0.6\n20            Holmgren, Chet      0.7\n21             Sarr, Olivier      0.8\n22            Wiggins, Aaron      0.8\n23              Giddey, Josh      0.3\n24         Waters III, Lindy      1.2\n25               Joe, Isaiah      0.2\n26       Pokusevski, Aleksej      1.2\n27         Williams, Kenrich      0.2\n28  Gilgeous-Alexander, Shai      0.7\n29           Micic, Vasilije      1.2\n30            Bertans, Davis      0.2', 1: '                   Pass From  FREQ\xa0R%\n0               Black, Leaky      0.7\n1              Bailey, Amari      0.4\n2            Smith Jr., Nick      0.9\n3            Miller, Brandon     14.6\n4            McGowens, Bryce      1.1\n5                   Thor, JT      4.6\n6             Richards, Nick      8.7\n7        Pokusevski, Aleksej      5.0\n8            Bolden, Marques      2.0\n9            Williams, Grant     13.2\n10              Martin, Cody      3.9\n11            Bridges, Miles     17.3\n12           Micic, Vasilije      6.2\n13               Curry, Seth      1.8\n14            Bertans, Davis      5.2\n15         Johnson, Keyontae      0.4\n16            Wallace, Cason      0.4\n17            Dieng, Ousmane      1.5\n18          Williams, Jaylin      3.4\n19           Williams, Jalen      0.6\n20            Holmgren, Chet      0.3\n21             Sarr, Olivier      1.3\n22            Wiggins, Aaron      0.7\n23              Giddey, Josh      0.5\n24         Waters III, Lindy      1.0\n25               Joe, Isaiah      0.2\n26       Pokusevski, Aleksej      1.4\n27         Williams, Kenrich      0.5\n28  Gilgeous-Alexander, Shai      0.5\n29           Micic, Vasilije      1.0\n30            Bertans, Davis      0.6'}"
BobanMarjanovic,"{0: '                 Pass To  FREQ\xa0M%\n0          Whitmore, Cam     11.3\n1         Thompson, Amen     23.9\n2         Williams, Nate     11.3\n3  Samuels Jr., Jermaine      1.4\n4           Hinton, Nate     14.1\n5          Landale, Jock      1.4\n6         Holiday, Aaron     22.5\n7         VanVleet, Fred      1.4\n8    Bullock Jr., Reggie     11.3\n9            Green, Jeff      1.4', 1: ""               Pass From  FREQ\xa0R%\n0          Whitmore, Cam      7.9\n1         Thompson, Amen     28.6\n2         Williams, Nate      3.2\n3  Samuels Jr., Jermaine      1.6\n4         Tate, Jae'Sean      4.8\n5           Hinton, Nate     11.1\n6          Landale, Jock      1.6\n7         Holiday, Aaron     19.0\n8         VanVleet, Fred      1.6\n9    Bullock Jr., Reggie     20.6""}"
LauriMarkkanen,"{0: '                 Pass To  FREQ\xa0M%\n0      Sensabaugh, Brice      0.5\n1        George, Keyonte     21.0\n2      Hendricks, Taylor      0.6\n3     Fontecchio, Simone      3.6\n4        Kessler, Walker      3.8\n5          Potter, Micah      0.1\n6         Juzang, Johnny      0.2\n7          Agbaji, Ochai      2.3\n8        Yurtseven, Omer      0.4\n9        Lewis Jr., Kira      0.3\n10  Horton-Tucker, Talen     10.7\n11        Sexton, Collin     22.0\n12         Collins, John      7.1\n13            Dunn, Kris     14.3\n14      Clarkson, Jordan     10.0\n15         Olynyk, Kelly      2.9', 1: '               Pass From  FREQ\xa0R%\n0      Sensabaugh, Brice      0.7\n1        George, Keyonte     20.0\n2      Hendricks, Taylor      0.6\n3     Fontecchio, Simone      4.6\n4        Kessler, Walker      2.9\n5          Potter, Micah      0.1\n6         Juzang, Johnny      0.2\n7          Agbaji, Ochai      2.0\n8        Yurtseven, Omer      0.2\n9        Lewis Jr., Kira      0.2\n10         Samanic, Luka      0.1\n11  Horton-Tucker, Talen     10.9\n12        Sexton, Collin     18.2\n13         Collins, John      4.3\n14            Dunn, Kris     15.3\n15      Clarkson, Jordan     13.8\n16         Olynyk, Kelly      5.9'}"
